currency,collateral,rate_rule,mechanism,paths,probability_any_liquidation,probability_any_liquidation_ci_low,probability_any_liquidation_ci_high,expected_liquidated_exposure_share,mean_bad_debt_ratio,mean_bad_debt_ci_low,mean_bad_debt_ci_high,bad_debt_var_99,bad_debt_cvar_99,mean_terminal_debt_erosion_all_paths,mean_survivor_weighted_debt_erosion,mean_borrower_net_benefit_after_penalty,mean_terminal_shortfall_share,mean_annual_rate,reserve_breach_5pct,reserve_breach_10pct,reserve_breach_20pct,safe_debt_ceiling_usd_for_10m_reserve
ARS,BTC,indexed_100,timely,20000,0.7654,0.7595271446,0.7712728554,0.5627436674,0.03154137694,0.03069326368,0.0323894902,0.2257364589,0.2463311084,-0.1360218743,-0.05809584874,-0.1260291132,0,0.5593111812,0.20555,0.15575,0.01545,40595765.86
ARS,BTC,indexed_100,delayed_stress,20000,0.75875,0.7528204179,0.7646795821,0.5514443341,0.06083602375,0.05949237758,0.06217966991,0.3474198866,0.4029874682,-0.1360218743,-0.05979893273,-0.1207478492,0.0009414999904,0.5593111812,0.33115,0.2336,0.15665,24814667.43
TRY,ETH,static_20,timely,20000,0.6135,0.6067512536,0.6202487464,0.4170996668,0.02327448448,0.02253581801,0.02401315096,0.2279355806,0.2293311084,0.1616561524,0.08358245198,0.03837300687,0,0.2,0.17435,0.08125,0.0337,43605074.21
TRY,ETH,static_20,delayed_stress,20000,0.6086,0.6018357841,0.6153642159,0.4115086668,0.03047088626,0.02927085995,0.03167091257,0.3543798752,0.3618766415,0.1616561524,0.08484529446,0.04358094509,0.0008746666692,0.2,0.1063,0.08695,0.0717,27633726.12
TRY,ETH,adaptive_75,timely,20000,0.6575,0.6509231303,0.6640768697,0.4796056668,0.03211357016,0.03126339697,0.03296374335,0.236876152,0.2575161752,-0.08008971074,-0.04285360583,-0.09690670894,0,0.4876213836,0.23115,0.1232,0.04045,38832512.14
TRY,ETH,adaptive_75,delayed_stress,20000,0.6509,0.6442934742,0.6575065258,0.4716915001,0.04761191125,0.04610519503,0.04911862747,0.4298912434,0.4663282341,-0.08008971074,-0.04282517091,-0.09220749544,0.001255666675,0.4876213836,0.1788,0.15025,0.12115,21444122.98
TRY,ETH,indexed_100,timely,20000,0.67345,0.6669506699,0.6799493301,0.5004595001,0.03655549982,0.0356287037,0.03748229593,0.2481223629,0.2857123827,-0.1689571689,-0.07554177217,-0.1328145913,0,0.5739383161,0.2634,0.1537,0.04535,35000233.12
TRY,ETH,indexed_100,delayed_stress,20000,0.6666,0.6600663401,0.6731336599,0.4917148335,0.05713479453,0.05544076025,0.0588288288,0.4656913668,0.5299207689,-0.1689571689,-0.07642855258,-0.1278285717,0.001465999988,0.5739383161,0.19975,0.1728,0.13855,18870745.57
TRY,BTC,static_20,timely,20000,0.71035,0.704063426,0.716636574,0.4283343357,0.01886570447,0.01828770675,0.01944370219,0.1407819708,0.1421443609,0.163490113,0.08108842549,0.03298599079,0,0.2,0.14355,0.121,0,70351014.55
TRY,BTC,static_20,delayed_stress,20000,0.70675,0.7004405284,0.7130594716,0.4220591691,0.02532025557,0.02454038012,0.02610013102,0.2003302966,0.2133578427,0.163490113,0.08253159583,0.03813515787,0.0001895000005,0.2,0.1589,0.1346,0.032,46869615.26
TRY,BTC,adaptive_75,timely,20000,0.7761,0.7703226728,0.7818773272,0.5310676682,0.02619201425,0.02548575927,0.02689826924,0.1676872696,0.1738236823,-0.07898779815,-0.03744457437,-0.09986585505,0,0.4890552432,0.16315,0.13285,0.00245,57529560.22
TRY,BTC,adaptive_75,delayed_stress,20000,0.77165,0.7658322941,0.7774677059,0.5211755016,0.0476699701,0.04652361012,0.04881633008,0.3049884963,0.358008261,-0.07898779815,-0.03755872921,-0.09526441326,0.0004275000024,0.4890552432,0.2812,0.18795,0.1139,27932316.35
TRY,BTC,indexed_100,timely,20000,0.7868,0.7811236803,0.7924763197,0.5586640015,0.03148989314,0.03071529289,0.03226449339,0.1849801269,0.194497221,-0.1683953795,-0.06145987781,-0.1287857289,0,0.5759288192,0.2022,0.14035,0.00575,51414616.37
TRY,BTC,indexed_100,delayed_stress,20000,0.78225,0.7765300407,0.7879699593,0.5476645016,0.06073861456,0.05937514764,0.06210208149,0.3861947319,0.4427654049,-0.1683953795,-0.06274967739,-0.1238412409,0.0004325000021,0.5759288192,0.31395,0.26695,0.13495,22585323.72
