quantile_bin,event_count,mean_principal_usd,total_principal_usd,min_principal_usd,max_principal_usd,event_weight,exposure_weight
63,1308,10000,13080000,10000,10000,0.0100044362179,0.000982122232654
64,1307,10002.5386713,13073318.0434,10000,10087.043504,0.00999678756635,0.000981620512613
65,1308,10761.9668693,14076652.665,10087.2010442,11342.3327093,0.0100044362179,0.00105695669294
66,1307,11891.7432299,15542508.4015,11345.6763681,12193.6016945,0.00999678756635,0.00116702164009
67,1307,12909.0583479,16872139.2607,12197,13725.0005144,0.00999678756635,0.00126685803366
68,1308,14459.9892913,18913665.993,13728.384,15000,0.0100044362179,0.00142014769669
69,1307,15000,19605000,15000,15000,0.00999678756635,0.00147205706202
70,1308,15620.3939344,20431475.2661,15000,16500,0.0100044362179,0.00153411361657
71,1307,17476.9131618,22842325.5025,16500,18440.4669272,0.00999678756635,0.00171513422947
72,1307,19587.2898608,25600587.848,18441.2201571,20000,0.00999678756635,0.00192224055769
73,1308,20000,26160000,20000,20000,0.0100044362179,0.00196424446531
74,1307,20137.2102861,26319333.8439,20000,21000,0.00999678756635,0.00197620817406
75,1308,22338.2617048,29218446.3099,21000,23966.7138288,0.0100044362179,0.00219389034591
76,1307,24792.928951,32404358.139,23968.6511886,25000,0.00999678756635,0.0024331070767
77,1307,25941.2096081,33905160.9578,25000,27837.5962138,0.00999678756635,0.00254579605339
78,1308,29459.8394151,38533469.9549,27845.9034828,30000,0.0100044362179,0.00289331632599
79,1307,30134.0774399,39385239.214,30000,31060.3050172,0.00999678756635,0.00295727210019
80,1308,33548.8177048,43881853.5579,31060.4920863,35000,0.0100044362179,0.00329490397472
81,1307,37948.0019402,49598038.5359,35000,40000,0.00999678756635,0.00372410828304
82,1308,40736.4866033,53283324.4771,40000,43448.8629535,0.0100044362179,0.00400082091733
83,1307,46905.2098186,61305109.2329,43452.0798036,50000,0.00999678756635,0.00460314302392
84,1307,50000,65350000,50000,50000,0.00999678756635,0.00490685687339
85,1308,50303.9698406,65797592.5514,50000,52500,0.0100044362179,0.00494046471712
86,1307,57273.707531,74856735.743,52500,60000,0.00999678756635,0.00562067770926
87,1308,64049.9062748,83777277.4074,60000,70000,0.0100044362179,0.00629048369519
88,1307,74921.1911085,97921996.7788,70000,80000,0.00999678756635,0.00735255123106
89,1307,87516.3125643,114383820.522,80000,99233.7166727,0.00999678756635,0.0085886003968
90,1308,99993.8875204,130792004.877,99241.7503372,100000,0.0100044362179,0.00982062200633
91,1307,102405.116669,133843487.487,100000,111777.966022,0.00999678756635,0.010049745012
92,1308,126918.675928,166009628.113,111863.978157,146500,0.0100044362179,0.0124649653367
93,1307,157818.764271,206269124.903,146781.238903,180000,0.00999678756635,0.0154878817643
94,1307,198237.034226,259095803.734,180000,211723.727558,0.00999678756635,0.0194544150791
95,1308,249544.04763,326403614.299,211733.083717,297954.345288,0.0100044362179,0.0245082757203
96,1307,343207.207367,448571820.029,298376.860609,426500,0.00999678756635,0.0336813728893
97,1308,511571.898511,669136043.253,426662.391787,550000,0.0100044362179,0.0502426135129
98,1307,819552.913344,1071155657.74,550000,1044090.57,0.00999678756635,0.080428576919
99,1308,6569703.81868,8593172594.84,1048111.44374,150450000,0.0100044362179,0.645225218228
